Ticker,Date,Actual,Estimate,Surprise
MPC US,5/8/19,(0.09),0.05 ,-280.00%
NOV US,4/25/19,(0.18),(0.08),-125.00%
FTI US,4/25/19,0.06 ,0.318 ,-81.13%
WDC US,4/29/19,0.17 ,0.445 ,-61.80%
JWN US,5/21/19,0.23 ,0.431 ,-46.64%
NBL US,5/3/19,(0.09),(0.064),-40.63%
MGM US,4/29/19,0.14 ,0.213 ,-34.27%
FCX US,4/25/19,0.05 ,0.073 ,-31.51%
CTVA US,5/31/19,0.31 ,0.44 ,-29.55%
CHTR US,4/30/19,0.98 ,1.371 ,-28.52%
EIX US,4/30/19,0.63 ,0.873 ,-27.84%
GPS US,5/30/19,0.24 ,0.316 ,-24.05%
CF US,5/1/19,0.27 ,0.352 ,-23.30%
NRG US,5/2/19,0.33 ,0.43 ,-23.26%
XOM US,4/26/19,0.55 ,0.716 ,-23.18%
ADM US,4/26/19,0.46 ,0.595 ,-22.69%
REGN US,5/7/19,4.45 ,5.706 ,-22.01%
APA US,5/1/19,0.10 ,0.127 ,-21.26%
ROL US,4/24/19,0.13 ,0.152 ,-14.47%
JBHT US,4/15/19,1.09 ,1.248 ,-12.66%
CAG US,6/27/19,0.36 ,0.412 ,-12.62%
CTSH US,5/2/19,0.91 ,1.034 ,-11.99%
HII US,5/2/19,2.85 ,3.228 ,-11.71%
XEC US,5/8/19,1.20 ,1.352 ,-11.24%
CNP US,5/9/19,0.46 ,0.516 ,-10.85%
MMM US,4/25/19,2.23 ,2.485 ,-10.26%
TAP US,5/1/19,0.52 ,0.576 ,-9.72%
KSS US,5/21/19,0.61 ,0.675 ,-9.63%
DOW US,5/2/19,0.83 ,0.916 ,-9.39%
WU US,5/7/19,0.39 ,0.428 ,-8.88%
VAR US,4/24/19,1.05 ,1.148 ,-8.54%
ADS US,4/25/19,3.72 ,4.05 ,-8.15%
LOW US,5/22/19,1.22 ,1.327 ,-8.06%
XYL US,5/2/19,0.52 ,0.564 ,-7.80%
WFC US,4/12/19,1.01 ,1.092 ,-7.51%
AOS US,4/30/19,0.53 ,0.573 ,-7.50%
